gun,S,pay,pnl,cm,taker
08-14,1786676400,404.762284,149.66679940000006,,0.0
08-14,1786676700,400.0,100.0,,0.0
08-14,1786677000,56.301611,1.3184284099999992,0.94,28.15
08-14,1786678200,102.400424,48.12819928,,0.0
08-14,1786678800,234.24666399999998,-32.97260099333201,1.1400000266692254,0.0
08-14,1786679400,200.526271,51.1395916,0.49,0.0
08-14,1786679700,5829.975667,1048.5209953399997,0.5957267597787856,4691.110000000001
08-14,1786680000,61.836543999999996,-27.826444799999997,,0.0
08-14,1786680600,100.0,67.0,,0.0
08-14,1786680900,200.15305,23.996938999999998,0.9,0.0
08-14,1786681200,7.0,2.66,,0.0
08-14,1786681500,2244.1129659999997,-248.31757182000024,1.2205387843509705,259.25
08-14,1786681800,138.38090499999998,12.59698865,0.81370187367059,17.0
08-14,1786682100,1586.307797,-2.1367335300001287,1.0509789681410489,0.0
08-14,1786682400,759.988935,192.76403944999993,0.48948866683091685,379.98999999999995
08-14,1786682700,2613.870709,973.4078095999997,0.4973806483045241,382.93999999999994
08-14,1786683000,1047.5021339999998,228.09369127000002,0.7320583951627957,0.0
08-14,1786683300,419.13,74.0173,0.6823009172637249,0.0
08-14,1786683600,400.0,22.0,0.8900000000000001,0.0
08-14,1786684200,759.8422390000001,-264.49884761,,0.0
08-14,1786685400,200.0,18.0,,0.0
08-14,1786686000,458.66,10.846099999999979,0.9527052718789517,0.0
08-14,1786687200,206.0,80.05016999999998,0.9000000000000001,6.0
08-14,1786687500,400.0,4.0,0.98,0.0
08-14,1786687800,64.64844,-6.464843999999999,,0.0
08-14,1786688100,200.0,70.0,,0.0
08-14,1786688700,208.499229,42.73839953999999,,0.0
08-14,1786689300,100.0,16.0,,0.0
08-14,1786689900,382.36,49.49916999999999,,182.35999999999999
08-14,1786690500,275.404091,187.71639552,,0.0
08-14,1786690800,595.2,-151.58959,1.4917557123655913,341.6
08-14,1786691400,400.0,10.0,0.95,0.0
08-14,1786692300,44.28,-2.619959999999999,1.1015582655826557,22.14
08-14,1786694400,300.0,-231.0,,0.0
08-14,1786694700,343.42513399999996,143.54819957999993,,0.0
08-14,1786695000,414.328102,101.77857916000002,0.581716989182894,179.41000000000003
08-14,1786695300,345.53999999999996,93.02449999999999,0.4615702957689414,0.0
08-14,1786695600,1664.316224,214.9817908,0.7382884247933866,200.73999999999998
08-14,1786695900,1280.88128,342.5503960499999,,0.0
08-14,1786696200,2139.1347479999995,112.13266217999967,1.2067658748686334,385.35
08-14,1786696500,538.9858909999999,83.75950973999994,,40.25
08-14,1786698600,10.0,0.04999999999999982,0.99,0.0
08-14,1786699200,399.99902199999997,-178.93982396,,200.0
08-14,1786699800,209.416362,1.8844998199999736,1.1450270095873785,0.0
08-14,1786700400,139.0,-16.439120000000003,0.81,39.0
08-14,1786701600,619.3,-168.159,,0.0
08-14,1786701900,269.8402500000001,190.7953950000001,,0.0
08-14,1786702500,100.0,-30.000000000000007,,0.0
08-14,1786704900,799.9998169999999,84.86105452999999,0.7851347375866424,68.14
08-14,1786705200,400.0,-122.0,,0.0
08-14,1786705500,8.913792,5.16999936,,0.0
08-14,1786705800,2656.5594049999995,372.62402216999993,0.35071167500486417,417.37
08-14,1786706400,73.395732,-18.348933,,0.0
08-14,1786707000,98.260425,27.222101000000002,0.43,49.13
08-14,1786707300,209.385674,33.50368264000001,0.68,0.0
08-14,1786707600,399.964182,83.98889642,,0.0
08-14,1786707900,0.756755,-0.47675565,,0.0
08-14,1786708500,172.119993,-61.685295849999996,,0.0
08-14,1786709400,528.0,114.75,,0.0
08-14,1786709700,205.148076,38.48739853500004,,0.0
08-14,1786710000,751.014422,-70.28292255999997,1.0553831424042577,0.0
08-14,1786710300,252.66,-5.265999999999991,0.8965151316651382,0.0
08-14,1786711500,30.0,-0.5981499999999986,1.03,15.0
08-14,1786711800,199.951268,-121.97027347999999,,0.0
08-14,1786712100,107.81808500000001,-85.17628715000001,,0.0
08-14,1786712400,659.840738,16.068598220000013,0.9915554747444966,300.0
08-14,1786712700,393.02333,36.68170939999993,1.6018129346916394,46.51
08-14,1786713300,348.77,56.85239999999999,,0.0
08-14,1786713600,422.0,-162.82,,0.0
08-14,1786713900,342.02,-75.75112000000001,1.42498041050231,239.02
08-14,1786714500,826.106577,-82.98660111000004,1.8132135818359298,58.32
08-14,1786714800,297.601547,-152.26532733,,142.91000000000003
08-14,1786715700,1185.5963,14.392991650000113,0.9719497822884222,226.26
08-14,1786716000,1267.539538,-164.6430121599999,1.2592160078032486,22.61
08-14,1786716600,169.19711,-6.808878600000002,0.6417271991651657,0.0
08-14,1786716900,737.977634,9.233376240000041,1.1877763392731646,341.8
08-14,1786717200,300.0,33.0,,0.0
08-14,1786717500,107.481427,12.023699889999989,,0.0
08-14,1786717800,369.874877,-86.69840595999997,1.4579005495710025,181.23
08-14,1786718100,167.916664,20.14999967999998,,0.0
08-14,1786718700,1399.996897,83.23075002000007,0.8745760973476349,400.02
08-14,1786719600,3008.101401,1670.30477881,0.5164133552392449,1776.4
08-14,1786719900,722.6413709999999,-187.94927854000002,,0.0
08-14,1786720500,348.77698899999996,-23.59904162999996,0.967350558294475,141.29
08-14,1786720800,99.996828,40.99869948,,0.0
08-14,1786721400,681.09,208.16664999999995,,371.09000000000003
08-14,1786721700,155.375649,35.73639927000002,,0.0
08-14,1786722000,172.640601,-37.50523222999999,1.319653453501321,58.519999999999996
08-14,1786722300,557.572116,-279.77171768,,0.0
08-14,1786722600,1135.567898,-66.89354991584196,1.0511967230079855,361.53
08-14,1786722900,998.5133189999999,122.87118744000009,1.3333882597462143,141.0
08-14,1786723200,1199.994938,180.99830806,0.6774342201506951,800.0
08-14,1786723500,852.5980059999999,139.80929953999998,,0.0
08-14,1786723800,913.208043,-5.398834539999996,1.010722334971315,80.0
08-14,1786724100,192.701001,2.4685136299999897,1.0180352706734295,88.52000000000001
08-14,1786724400,200.0,93.2675,,100.0
08-14,1786724700,3918.0895790000004,-833.0891675,1.4162804431672218,2472.37
08-14,1786725000,900.0,475.87691000000007,,900.0
08-14,1786725300,545.887363,166.88339818000003,,0.0
08-14,1786725600,199.989562,86.28999852,,100.0
08-14,1786725900,1889.466427,-223.62180010999987,1.3624016522329596,600.0
08-14,1786726800,136.03,47.279,0.5400111018595615,0.0
08-14,1786727100,41.9675,-15.4083,,0.0
08-14,1786728000,793.817791,49.63183866999998,0.9976512804463367,310.32000000000005
08-14,1786728600,762.560421,-20.630437889999996,1.0909793155828227,0.0
08-14,1786729500,90.082494,25.22309831999999,,0.0
08-14,1786730400,85.230221,-35.39662155,,0.0
08-14,1786730700,166.16570899999996,18.58288730000001,0.7763057004067289,0.0
08-14,1786731000,300.702624,-18.75076544000001,1.1099999999999999,150.35
08-14,1786731600,934.6934819999998,54.27372056999991,0.9825260328562175,109.3
08-14,1786731900,755.320366,-143.61770100000007,1.2381728223102204,0.0
08-14,1786732200,1160.1327689999998,64.04166381000005,0.8767350679914947,550.37
08-14,1786733100,234.547361,19.77640858999999,0.8300000000000002,117.27
08-14,1786733700,300.0,-165.0,,0.0
08-14,1786734000,2485.421919,-189.95721478000019,1.1435295300099417,905.87
08-14,1786734300,600.0,-57.36635999999993,1.19,22.0
08-14,1786734600,103.299997,30.98999910000002,,0.0
08-14,1786735200,441.417067,-7.6978004100000135,1.0348722725366295,0.0
08-14,1786735800,370.849227,-46.88367944999999,1.2463391219933124,185.42
08-14,1786736100,949.7238,272.9747972800001,,0.0
08-14,1786736700,329.96,-216.35707,,172.11
08-14,1786737000,900.0,183.0,,0.0
08-14,1786737600,518.810234,162.91389798000006,,0.0
08-14,1786737900,121.05758200000001,20.22508755999999,1.0680372235977469,13.51
08-14,1786740000,234.06308,-11.703154,,0.0
08-14,1786740900,92.90122,-4.645061,,0.0
08-14,1786741200,661.64,159.40999999999997,,0.0
08-14,1786741500,127.13989899999999,-42.163537469999994,1.5999999999999999,0.0
08-14,1786742100,120.623698,-10.85613282,,0.0
08-14,1786742400,1510.6595409999998,214.8729261000001,0.809616751334891,263.57
08-14,1786742700,64.163332,-6.098132160000006,1.19,0.0
08-14,1786743000,200.0,80.0,,0.0
08-14,1786743600,1587.526114,-151.53433626999959,1.4799566294912072,103.38
08-14,1786743900,125.74636100000001,15.947299390000012,,0.0
08-14,1786744200,282.48273,-111.58353330000001,1.1468128250720324,0.0
08-14,1786745400,400.0,78.0,,0.0
08-14,1786745700,200.0,45.23608999999999,,91.83
08-14,1786746000,201.88679100000002,19.99999923,0.8103703700904663,0.0
08-14,1786747500,79.39183299999999,-30.22055499,,0.0
08-14,1786747800,226.86283600000002,54.44975908,0.52,0.0
08-14,1786748100,289.74384200000003,-81.84063881999995,1.4968157559103998,6.36
08-14,1786748400,499.998887,-78.02060068,1.1384343060702466,0.0
08-14,1786749600,232.56244099999998,-89.53625075000001,,0.0
08-14,1786749900,424.287793,6.57988801999997,0.9240518750029431,199.99999999999997
08-14,1786751400,200.99999999999997,-69.66726000000001,1.163624,199.99999999999997
08-15,1786752000,268.732797,-22.67824969,0.4207876900094984,0.0
08-15,1786752300,146.757,58.702799999999996,,0.0
08-15,1786752600,199.98790400000001,-113.99310528,,0.0
08-15,1786752900,55.566875,8.890700000000002,,0.0
08-15,1786753200,2593.216305,63.83775394499992,0.6662535707846069,191.09
08-15,1786753500,600.522999,57.66939912999999,0.806707635754166,137.63
08-15,1786753800,231.21285600000002,69.61399968000003,,0.0
08-15,1786754100,659.2071649999999,51.6529338499999,1.2234182494110586,129.6
08-15,1786754400,199.95439500000003,67.98449430000002,,0.0
08-15,1786754700,937.473168,10.498803960000032,0.8610597485424282,89.52000000000001
08-15,1786755000,204.3478,17.652175999999997,0.99,0.0
08-15,1786755300,500.109868,148.02089843368594,,0.0
08-15,1786755600,168.754877,-30.37587786,,0.0
08-15,1786755900,1074.914614,-124.96130018000008,1.2324982098133757,0.0
08-15,1786756200,131.645784,-7.92523584,,0.0
08-15,1786756800,12.150908,1.3365998799999996,,0.0
08-15,1786757100,354.53505700000005,11.036019250000038,1.110920040725491,0.0
08-15,1786757400,187.84317500000003,-85.931403,1.2913618677042802,0.0
08-15,1786758600,421.865914,-94.19833373,,0.0
08-15,1786758900,169.993408,-4.208908479999991,1.0495615170531813,0.0
08-15,1786760700,640.986409,244.01616873000006,0.5966794903411334,0.0
08-15,1786761000,399.986058,165.99539914,,0.0
08-15,1786761300,327.719046,106.82099965999998,,0.0
08-15,1786761600,322.19927699999994,57.50744267000002,0.7673690618337757,0.0
08-15,1786761900,341.84630000000004,20.593098999999995,0.973714323179385,0.0
08-15,1786762200,130.424647,-35.868148790000006,1.55,0.0
08-15,1786762500,67.14691300000001,4.030197380000004,0.8799999999999999,0.0
08-15,1786762800,774.251623,-122.53454506999992,1.2020996633945173,200.0
08-15,1786763100,637.40047,48.72529878,0.8583089906626307,0.0
08-15,1786763700,187.37,71.07527,,172.0
08-15,1786764000,795.4,142.1587800000001,,200.0
08-15,1786764600,683.690638,165.03806126,0.5764928729199937,0.0
08-15,1786764900,262.441877,28.468698830000008,0.7830500000392464,0.0
08-15,1786765200,146.04685,22.638597499999996,0.6900000000000001,0.0
08-15,1786765500,58.587498,-1.75762494,,0.0
08-15,1786765800,200.0,-56.00000000000001,,0.0
08-15,1786766100,341.93665999999996,-27.28966240000001,1.0965536054945164,0.0
08-15,1786766400,437.31605699999994,-79.03356,,0.0
08-15,1786766700,516.9211540000001,-58.36880234,,0.0
08-15,1786767000,399.967055,-33.84092759999996,1.1597994799479947,199.98000000000002
08-15,1786768200,972.0362819999999,-252.35260073,,0.0
08-15,1786768500,779.3999630000001,79.23531146999994,0.8290057037144263,0.0
08-15,1786768800,818.653713,-139.81251081,,200.0
08-15,1786769100,341.75027,-92.01045268000001,0.6638686337613717,0.0
08-15,1786769400,82.758325,-3.310333,,0.0
08-15,1786769700,870.610195,-226.10212723999996,,0.0
08-15,1786770000,79.41173,-11.911759500000002,,0.0
08-15,1786770300,532.354095,58.44113727000001,0.5945444228090525,50.0
08-15,1786770600,705.66695,-182.87057098000002,,0.0
08-15,1786770900,812.15098,-153.47996456,,200.0
08-15,1786771200,130.053777,-23.409679859999997,,0.0
08-15,1786771500,987.7259740000001,-62.43012588000002,0.7451228243164468,90.10000000000001
08-15,1786771800,808.675761,38.635627099999965,0.9528742835498574,456.71
08-15,1786772700,58.043332,43.132498999999996,,0.0
08-15,1786773300,697.46729,-50.28359039999998,1.1434594760627799,100.0
08-15,1786774200,200.0,-44.0,1.44,0.0
08-15,1786774500,208.05584100000002,20.20963375999999,0.6469657352015775,10.1
08-15,1786774800,254.231856,20.301223610000022,0.8743425820300463,0.0
08-15,1786775100,111.62635399999999,-57.45915514,,0.0
08-15,1786775400,199.971017,13.99942763,0.86,0.0
08-15,1786775700,100.0,-23.0,,0.0
08-15,1786776300,71.200644,20.394399280000002,0.71,0.0
08-15,1786776900,100.0,-60.0,,0.0
08-15,1786777500,448.466858,-164.15026057,,0.0
08-15,1786777800,691.6974789999999,-22.134736490000023,1.0612145453175343,93.08
08-15,1786778700,400.0,-127.65871,,200.0
08-15,1786779600,100.0,-15.0,,0.0
08-15,1786779900,555.340321,-114.10158976000001,,0.0
08-15,1786780200,1541.1466139999998,-76.54581561999998,0.945579303629763,392.08
08-15,1786780500,1108.2358009999998,-36.775809809999885,0.9664962006026749,411.27
08-15,1786781700,395.60225,134.43238000000002,0.3136035864101646,77.66
08-15,1786782600,200.0,138.0,,0.0
08-15,1786782900,58.83218500000001,9.02501405,0.6932814461081351,0.0
08-15,1786783200,495.52131,78.0912373,0.5515098928060383,0.0
08-15,1786784100,199.9925,69.91456,,177.60999999999999
08-15,1786784400,431.27,-175.6238,1.375,200.0
08-15,1786785300,69.130699,-10.87190271,,0.0
08-15,1786785900,169.8496,-42.4624,,0.0
08-15,1786786500,2.483166,-0.44696988000000015,,0.0
08-15,1786786800,200.0,72.0,,0.0
08-15,1786787100,61.6,-27.372230000000002,,56.6
08-15,1786787400,291.40000000000003,183.31810000000002,0.8029604730562105,0.0
08-15,1786788900,345.487793,-48.18780274000001,,0.0
08-15,1786789200,310.043993,-45.07821654999999,,0.0
08-15,1786789500,203.61129799999998,27.236243079999998,0.30711947749709567,0.0
08-15,1786790100,202.255908,162.25408548000001,,0.0
08-15,1786790400,55.64,41.1736,,0.0
08-15,1786791000,194.437756,30.597167020000015,0.6820459582711536,26.630000000000003
08-15,1786791300,200.0,-186.0,,0.0
08-15,1786791600,233.73563000000001,-58.3856319,,0.0
08-15,1786791900,49.87,9.475299999999997,,0.0
08-15,1786792800,118.330388,20.718777039999992,0.6900000000000002,0.0
08-15,1786793100,55.699999999999996,6.684000000000001,0.76,0.0
08-15,1786793400,543.5148790000001,-78.72611737999999,,0.0
08-15,1786793700,400.0,90.01590999999999,0.5324735,200.0
08-15,1786794000,9.57,5.3591999999999995,,0.0
08-15,1786794300,303.964367,-4.363188890000032,0.9973104538186622,0.0
08-15,1786794900,287.97593900000004,64.45279914000002,,0.0
08-15,1786795500,280.55384499999997,60.834509699999984,,200.0
08-15,1786795800,92.626266,19.522744480000007,0.716890407408085,63.03
08-15,1786796100,399.28484199999997,73.67057779999999,0.5608807823237215,47.53
08-15,1786796400,399.982266,-17.999371919999987,1.0899999999999999,0.0
08-15,1786796700,556.064192,6.422238460000017,0.9769000044338525,0.0
08-15,1786797000,501.158741,-71.1735519,,0.0
08-15,1786797300,140.74,-4.585000000000008,0.9900000000000001,0.0
08-15,1786797600,536.414651,134.262196533086,,0.0
08-15,1786797900,336.78184999999996,42.0979995,0.75,0.0
08-15,1786798200,163.91,-4.9173000000000044,,0.0
08-15,1786798800,841.6441030000001,2.808728090000045,1.5451257712082707,0.0
08-15,1786799100,827.7296350000001,275.09539614000016,,0.0
08-15,1786799400,908.4783170000001,27.921846189999997,0.9407476866005676,0.0
08-15,1786799700,1680.593401,-613.96931452,1.7299793686996334,173.89000000000001
08-15,1786800000,1045.68512,-49.88234080000018,1.2064186380874342,8.3
08-15,1786800300,522.173912,103.90524951999998,,120.0
08-15,1786800600,649.355832,-170.48233263999998,1.4709082430317064,200.0
08-15,1786800900,754.527876,206.01709816000005,,0.0
08-15,1786801200,200.0,57.13835,,200.0
08-15,1786801500,8.666665,2.5999995,,0.0
08-15,1786801800,100.0,30.0,,0.0
08-15,1786802100,118.593547,44.763999569999996,,0.0
08-15,1786802400,100.0,56.00000000000001,,0.0
08-15,1786803000,199.994443,140.14205909,,100.0
08-15,1786803300,599.964537,-48.894230719999996,1.1533211341156562,293.56000000000006
08-15,1786803600,999.968884,100.85661780000004,0.7980083120816215,199.98
08-15,1786803900,819.2599,130.62819768000008,,0.0
08-15,1786804200,576.5822459999999,-10.287826530000018,0.9181030250131856,146.66000000000003
08-15,1786804800,100.0,18.0,,0.0
08-15,1786805100,470.58485400000006,26.941250440000005,0.8796654015909912,135.29
08-15,1786805400,522.7428600000001,38.714971440000056,0.8481447072840551,68.65
08-15,1786805700,505.51306300000005,-55.51380334000004,1.21335647527684,147.44
08-15,1786806000,99.995,39.998000000000005,,0.0
08-15,1786807200,620.561045,-67.93144555,1.046237752256346,12.58
08-15,1786807500,266.868237,21.411540540000004,0.87,0.0
08-15,1786808100,400.0,77.00598000000002,,200.0
08-15,1786808700,381.90101999999996,-13.86036,,0.0
08-15,1786809000,365.01289599999996,-28.757785279999997,0.985534192834423,30.77
08-15,1786809300,496.675673,-36.91170691000002,0.9137801816525406,248.34
08-15,1786810500,6.765655,-0.52567385,,0.0
08-15,1786812000,823.8773679999999,244.6682836,0.5646781183908516,155.87
08-15,1786812300,599.9769410000001,95.95889648999992,0.8141999077533644,31.0
08-15,1786812600,674.518341,-104.29831471,,0.0
08-15,1786812900,985.6766819999999,-22.77736993999997,0.5641521883697558,200.0
08-15,1786813200,966.207518,199.78202840999995,0.576835388873689,295.27
08-15,1786813500,749.6425770000001,76.96287762999992,0.7887470885487751,127.1
08-15,1786814100,409.434842,-104.77424497999998,,0.0
08-15,1786814700,154.053983,9.078204159999999,0.8821503048559639,0.0
08-15,1786815000,143.5,53.351330000000004,,143.5
08-15,1786815300,543.0518509999999,-89.20748817999998,0.34429336395583604,0.0
08-15,1786815600,1038.389232,213.03444499999995,0.5776082566724287,522.61
08-15,1786815900,800.5801239999998,-223.16135641000002,,0.0
08-15,1786816200,670.7098759999999,-69.61038884000001,0.8275916650550068,0.0
08-15,1786816500,458.940396,-103.71961025999998,,0.0
08-15,1786816800,524.262345,-61.28728540000003,0.7917120923425289,42.0
08-15,1786817400,77.504975,8.258401000000013,0.86,0.0
08-15,1786819800,715.0797299999999,63.679477460000044,0.8176860514060018,135.43
08-15,1786820700,100.0,24.0,,0.0
08-15,1786821300,367.214357,41.91420922999998,0.9794593903092377,200.0
08-15,1786823100,913.40949,-125.31297987999999,,200.0
08-15,1786823400,706.7036989999999,-214.2456758,0.900048068545497,174.28000000000003
08-15,1786824000,163.931281,-36.064881820000004,,0.0
08-15,1786824300,281.949321,-8.588029859999978,1.0609136414410734,0.0
08-15,1786824900,1237.302723,-108.51357538999997,0.8445910356628842,200.0
08-15,1786825200,802.0940559999999,-85.29614563999999,,0.0
08-15,1786825500,2106.483968,576.03928879,0.4731765753114141,145.0
08-15,1786825800,607.667658,-86.2075882,,0.0
08-15,1786826100,59.422631,-1.7826789300000017,,0.0
08-15,1786826400,200.0,-30.000000000000004,,0.0
08-15,1786826700,180.326817,35.301219479999986,0.6077284826974269,5.0
08-15,1786827000,203.26085,-22.237727999999997,,199.99999999999997
08-15,1786827600,787.3532600000001,-186.45716190000002,,200.0
08-15,1786827900,851.73217,-277.41869231,,399.99999999999994
08-15,1786828800,54.426128,15.13397936,0.44000000000000006,27.21
08-15,1786829400,329.710475,-116.753676,,0.0
08-15,1786829700,104.0,11.310690000000001,0.7653846153846153,52.0
08-15,1786830000,427.69824400000005,60.514531379999966,0.717028860626887,0.0
08-15,1786830300,1149.8947620000001,47.89730846000003,0.7285014823967606,218.23999999999998
08-15,1786830600,1006.378716,-305.95340670999997,1.1196471411309168,453.99999999999994
08-15,1786830900,441.944136,136.03926344,0.9551287064856698,0.0
08-15,1786831200,1069.350688,-59.16343729000005,0.9755569313317741,10.0
08-15,1786831500,1038.676276,105.38418961000002,0.7559063445375312,0.0
08-15,1786831800,435.829702,36.00711365000001,0.8344533979332472,33.59
08-15,1786832100,482.407331,45.78251261999998,0.8098726900598225,38.239999999999995
08-15,1786832400,943.908101,195.78727814000007,0.7744161070517351,0.0
08-15,1786832700,555.9269380000001,381.5613058299999,0.842421529736058,243.04000000000002
08-15,1786833000,523.988175,62.83699500000003,0.7745836118949955,0.0
08-15,1786833300,200.0,-30.0,,0.0
08-15,1786833900,599.982299,85.70643102999998,0.8,144.38
08-15,1786834200,199.995,-7.9998000000000005,,0.0
08-15,1786834500,581.920789,-100.47509897,,0.0
08-15,1786835100,97.46063699999999,30.212797469999984,,0.0
08-15,1786835400,323.9177499999999,-22.027744900000005,,0.0
08-15,1786835700,201.753286,-27.01489094,,0.0
08-15,1786836000,400.00000000000006,-228.33245999999997,,400.00000000000006
08-15,1786836300,703.2016000000001,33.27402799999993,0.8983303845333437,308.29999999999995
08-15,1786836600,147.13,-83.41958000000001,,147.13
08-15,1786837500,934.517942,493.80282068,1.1160574712599456,505.42
08-15,1786838100,517.5313610000001,239.21452759,0.7101935979516144,105.0
08-16,1786838700,287.985293,93.84474751000002,,137.5
08-16,1786839000,135.304567,-101.59736835,,0.0
08-16,1786839900,535.7675399999999,-120.2045761,,0.0
08-16,1786840500,200.0,93.50834000000002,,200.0
08-16,1786840800,861.5805439999999,-242.65480839000003,,400.0
08-16,1786841700,231.94310499999997,42.57864874999997,0.709959262074723,0.0
08-16,1786842300,247.54122700000002,-3.4243506100000047,1.0106277773289167,123.77
08-16,1786842900,268.181817,51.999999480000014,,0.0
08-16,1786843200,209.786922,15.272299860000004,,0.0
08-16,1786844100,222.904543,-48.27482381000004,1.4200000000000002,111.44999999999999
08-16,1786844400,2258.545099,-281.27431166999986,1.240889606262348,648.24
08-16,1786844700,1146.308962,167.39400786,1.004321535512522,0.0
08-16,1786845000,1324.0222210000002,-421.71533166000006,1.0767679780550354,1000.0
08-16,1786845300,714.2855910000001,203.84008197000009,,300.0
08-16,1786845600,1635.274548,262.73079901999995,0.8454975397214542,0.0
08-16,1786845900,878.774287,-3.0333009600000196,1.004245489157192,0.0
08-16,1786846200,319.81999999999994,22.555009999999953,0.9282936401061908,59.91
08-16,1786846500,57.502219,5.46309913,0.81,0.0
08-16,1786846800,400.0,60.88763000000006,,200.0
08-16,1786847100,874.535638,427.02664931999993,0.548787413984831,0.0
08-16,1786847400,309.221427,2.7525991199999993,0.5493036408624956,0.0
08-16,1786847700,1978.005371,-465.5540046199999,1.1663917987305503,200.0
08-16,1786848000,924.540465,162.49297360000003,0.8186940967346182,0.0
08-16,1786848900,132.46651400000002,-77.56651898,,0.0
08-16,1786849800,117.1,-53.487,1.5099999999999998,0.0
08-16,1786850400,105.86021400000001,-9.560434979999997,,100.0
08-16,1786850700,160.97910000000002,97.56369800000002,,0.0
08-16,1786851000,197.522253,129.739797071674,,0.0
08-16,1786851300,1489.8223850000002,431.65097799000006,0.4987860879239627,312.57
08-16,1786851600,623.050557,-202.8460639,,0.0
08-16,1786851900,713.894694,38.28791655999993,0.8605411740010903,228.18
08-16,1786852200,1065.366072,255.17541529,0.6142817424001591,199.99999999999997
08-16,1786852500,1689.082186,50.000464729999976,0.7855448248984015,456.0
08-16,1786852800,1.450733,-0.08704398000000008,,0.0
08-16,1786853100,647.616925,59.792877000000004,0.6099881612271665,85.69
08-16,1786853400,751.246189,124.32388938000005,0.6597084466844088,200.0
08-16,1786853700,800.0,306.96362,,800.0
08-16,1786854000,1933.765598,54.61681218000001,0.4418546854499185,243.86
08-16,1786854300,312.431105,95.00788132999999,0.5430428815406712,0.0
08-16,1786854600,874.299145,-267.37854685,1.4225874719002063,0.0
08-16,1786854900,709.5869500000001,-255.104926,,200.0
08-16,1786855200,404.294564,-150.83926456000003,,200.0
08-16,1786855500,392.180642,48.78232958999999,0.7480321961606866,41.79
08-16,1786855800,671.843782,165.09619934000006,,0.0
08-16,1786856400,260.30046899999996,240.87201616399997,,0.0
08-16,1786856700,471.91824699999995,34.94619087999996,0.8507618358165228,15.77
08-16,1786857000,950.672412,123.47839947999995,0.8740608576979614,226.93
08-16,1786857300,297.71434999999997,36.1155095,0.8805044574814009,0.0
08-16,1786857600,728.5957730000001,116.95042142000005,0.9726450634708369,294.42
08-16,1786857900,316.156407,-156.33000764,,0.0
08-16,1786858200,426.626437,14.9807931,0.6186259312449819,0.0
08-16,1786858500,400.0,72.0,0.64,0.0
08-16,1786858800,637.540644,31.26119344,1.1479993761593743,399.98
08-16,1786859100,319.39650900000004,-99.12651325,,0.0
08-16,1786859400,605.162084,156.36599432,0.6354304080424972,121.87
08-16,1786859700,1561.042151,-85.12783480000019,1.1011135298222923,482.3500000000001
08-16,1786860000,800.0,498.0,,0.0
08-16,1786860300,1198.549179,110.41706849999991,0.9166918225799617,20.0
08-16,1786860600,1438.196506,-132.58665011999994,1.0602842683763753,45.0
08-16,1786860900,1659.5614959999998,399.6568803099997,0.6022177857845012,347.51000000000005
08-16,1786861200,1005.0949130000001,23.657218419999992,0.8315211901393063,104.98
08-16,1786861500,187.29598700000003,-8.144012960000007,,0.0
08-16,1786862100,909.1561379999999,332.19627807,0.46384614054593354,200.0
08-16,1786862400,396.500657,59.865096110000025,0.6853919026889055,200.0
08-16,1786863000,233.580533,-40.558138580000005,0.7415442459566499,0.0
08-16,1786863300,652.2835439999999,-3.1737428300000374,0.6798003647360473,175.69
08-16,1786863600,571.7536399999999,-118.18622676,,200.0
